stik KF
A18	B6-36-15
10N				x
11N				x
12N				x
13N	A4-20-1
14N	A4-20-8N
end

kort	A3-21	0205	LI og H
1	CN-15
2	CP-15
3				x
4				x
5				x
6				x
7				x
8				x
9				x
10				x
11				x
12				x
13				x
14	LÆ-P-15
15	LÆ-N-15
1N				x
2N				x
3N	-1.5V*15
4N	A3-22-5N
5N	A3-20-4N A3-22-6N		# L-15
6N	A3-20-5N
7N				x
8N				x
9N				x
10N				x
11N				x
12N				x
13N	A4-21-1
14N	A4-21-8N
end

kort	A3-22	0205	LI og H
1	CN-16
2	CP-16
3				x
4				x
5				x
6				x
7				x
8				x
9				x
10				x
11				x
12				x
13				x
14	LÆ-P-16
15	LÆ-N-16
1N				x
2N				x
3N	-1.5V*16
4N	A3-23-5N
5N	A3-21-4N A3-23-6N		# L-16
6N	A3-21-5N
7N				x
8N				x
9N				x
10N				x
11N				x
12N				x
13N	A4-22-1
14N	A4-22-8N
end

kort	A3-23	0205	LI og H
1	CN-17
2	CP-17
3				x
4				x
5				x
6				x
7				x
8	B2-29-8			x
9				x
10				x
11				x
12				x
13				x
14	LÆ-P-17
15	LÆ-N-17
1N				x
2N				x
3N	-1.5V*17
4N	A3-24-5N
5N	A3-22-4N A3-24-6N		# L-17
6N	A3-22-5N
7N				x
8N				x
9N				x
10N				x
11N				x
12N				x
13N	A4-23-1
14N	A4-23-8N
end

kort	A3-24	0205	LI og H
1	CN-18
2	CP-18
3				x
4				x
5				x
6				x
7				x
8				x
9				x
10				x
11				x
12				x
13				x
14	LÆ-P-18
15	LÆ-N-18
1N				x
2N				x
3N	-1.5V*18
4N	A3-25-5N
5N	A3-23-4N A3-25-6N		# L-18
6N	A3-23-5N
7N				x
8N				x
9N				x
10N				x
11N				x
12N				x
13N	A4-24-1
14N	A4-24-8N
end
kort	A3-25	0205	LI og H
1	CN-19
2	CP-19
3	-31.5V			x
4	+10.5V			x
5	-13.5V			x
6	-4.5V			x
7	B1-33-8			x
8	-13.5V*			x	# Direkte fra SF
9	-1.5V			x
10				x
11	B1-35-9N		x
12	-3.0V			x
13	B1-35-9			x
14	LÆ-P-19
15	LÆ-N-19
1N				x
2N				x
3N	-1.5V*19
4N	B2-29-5N
5N	A3-24-4N	B2-29-6N	# L-19
6N	A3-24-5N
7N				x
8N				x
9N				x
10N	B3-27-9			x
11N	-7.5V			x
12N				x
13N	A4-25-1
14N	A4-25-8N
end


















tværtråd	A4
2	25-5
4	25-16	15-5
5	25-5
6	25-5
12	25-5
14	25-5
15	25-5
1N	25-5
2N	25-5
3N	25-5
4N	25-5
9N	25-5
10N	25-5
12N	25-5
15N	25-5
end
kort	A4-1	0215	Halvadder, Logik m.m
1	B5-33-9
2	B5-34-12
5	A4-2-10
7	A2-5-1N				# SIGGs adder, H og AC
9	C1-21-4				# Spild i AC
11	A4-2-15	H10-M			# XXX: H10-M is wrong...
12	C2-22-2
13	A4-2-2
15	A4-2-6N
1N	STEL
2N	A2-5-10		A5-5-8
3N	A4-2-5
4N	A2-3-1		A4-3-4
5N	A4-6-14
6N	A4-2-1
7N	A4-2-12
8N	STEL
9N	A4-2-7N
10N	A3-6-12N
11N	A5-5-1N
12N	A4-3-14N			# plus (beting)
14N	C1-21-8				# ~Spild i AC
15N	B5-32-9
end

kort	A4-2	0214-7	Standard forstærkere
1	A4-3-1		A4-1-6N
2	A4-1-13				# ~ACo
3	C1-20-8N			# w
4	C1-20-9N	A4-2-14N	# ~w
5	A4-3-15N	A4-1-3N		# ~ACoo
6	C1-18-8N			# Hoo
7	C1-18-9N			# ~Hoo
8	C1-20-3				# spild
9	C1-20-2				# ~spild
10	A4-4-1		A4-1-5
12	A4-3-12		A4-1-7N
14	A4-3-14
15	A4-3-15		A4-1-11
2N	STEL
4N	A5-5-7N
5N	A4-2-13N			# Afk (AC) /= 0	
6N	A4-3-6N		A4-1-15
7N	A4-3-7N		A4-1-9N
8N	A2-5-13
9N	A2-5-9
10N	A4-3-12N
11N	A3-5-15N
12N	A5-5-6N
13N	A4-2-5N		C2-22-13N
14N	A4-2-4
15N	A5-6-6N
end

kort	A4-3	0214-7	Standard forstærkere
1	A4-5-5		A4-2-1
2	C1-21-10N	A4-4-8		# ACoo
3	C5-13-11			# plus (beting)
4	A4-1-4N		H22-V		# MDo
5	A2-3-2				# ~Hoo
6	A4-6-1		A2-3-6		# ~Ho
7	A2-2-1		A4-6-8N		# Ho
8	A2-25-10			# Tæl i TD
9	A2-25-8				# Tæl i OT
# XXX: 10 Stel eller +1.5V ?
10	STEL
12	A4-5-2N		A4-2-12
14	A4-5-12N	A4-2-14
15	A4-4-5		A4-2-15
6N	A4-4-6		A4-2-6N
7N	A4-5-4N		A4-2-7N
8N	A3-2-3
9N	H10-K
10N	A3-6-15N
11N	A3-6-14N
12N	A4-2-10N	A3-5-14N
13N	A5-6-6
14N	A4-1-12N
15N	A4-2-5		C1-21-6N
end

kort	A4-4	0213	Ind og udgange
1	+1.5V		A4-2-10
2	A2-5-12				# Spild
3	KB3-MM				# ACoo (til højtaler)
5	A4-5-11		A4-3-15
6	A4-5-3N		A4-3-6N
7	A4-4-14
8	A4-3-2
9	A2-2-10N
10	A3-1-5				# Ind: Gm linie 0->Hoo
11	A3-3-7				# Ind: Gm 0 -> Hoo
12	A6-3-7				# Ind: Gm 0 -> MQo
13	A6-3-5				# Ind: Gm LInie 39->MQo
14	A3-3-6		A4-4-7		# Ind: Gm linie00 ->Hoo,o
15	A3-3-5				# Ind: Gm MQ39 -> Ho
1N	A3-3-4				# Ind: Gm linie 39 -> Ho
2N	B2-47-4N	A4-4-8N
3N	A3-6-6N		A4-4-7N
4N	A5-6-10N
5N	A3-6-9N
6N	A3-5-5N		A4-5-8		# L-OO
7N	A4-4-3N
8N	A4-4-2N
9N	A5-6-9		A4-4-11N
10N	A4-4-12N	A4-5-12
11N	A4-4-9N
12N	A4-4-10N
13N	A3-5-6N		A4-4-15N
14N	A3-7-6N		A4-6-8		# L-0
15N	A4-4-13N
end

kort	A4-5	0201	Adder
1	A3-5-13N
2				x	
3	A4-6-13N
4				x
5	A4-3-1			x
6				x
8	A4-4-6N		A5-5-14		# LOO
11	A4-5-9N		A4-4-5
12	A4-4-10N		x
14	A5-4-2			x
15				x
1N				x
2N	A4-3-12			x
3N	A4-4-6			x
4N	A4-3-7N			x
5N	A4-6-7N
8N	A3-5-14N
9N	A4-5-11			x
10N				x
12N	A4-3-14			x
14N	A5-5-5
15N				x
end

kort	A4-6	0201	Adder
1	A4-3-6
2				x
3	A4-7-13N
4				x
5				x
6				x
8	A4-4-14N	A5-6-14		# LO
11	A3-6-3N		A5-6-13		# -1.5V*0
12				x
14	A4-1-5N			x
15				x
1N				x
2N				x
3N				x
4N				x
5N	A4-7-7N
7N	A4-5-5N
8N	A4-3-7
9N				x
10N				x
12N				x
13N	A4-5-3
14N	A5-6-5
15N				x
end

kort	A4-7	0201	Addr
1	A3-7-13N
2				x
3	A4-8-13N
4				x
5				x
6				x
8	L-1
11	-1.5V*1
12				x
14				x
15				x
1N				x
2N				x
3N				x
4N				x
5N	A4-8-7N
7N	A4-6-5N
8N	A3-7-14N
9N				x
10N				x
12N				x
13N	A4-6-3
14N	A5-7-5
15N				x
end

kort	A4-8	0201	Addr
1	A3-8-13N
2				x
3	A4-9-13N
4				x
5				x
6				x
8	L-2
11	-1.5V*2
12				x
14				x
15				x
1N				x
2N				x
3N				x
4N				x
5N	A4-9-7N
7N	A4-7-5N
8N	A3-8-14N
9N				x
10N	STEL			x
12N				x
13N	A4-7-3
14N	A5-8-5
15N				x
end

kort	A4-9	0201	Addr
1	A3-9-13N
2				x
3	A4-10-13N
4				x
5				x
6				x
8	L-3
11	-1.5V*3
12				x
14				x
15				x
1N				x
2N				x
3N				x
4N				x
5N	A4-10-7N
7N	A4-8-5N
8N	A3-9-14N
9N				x
10N				x
12N				x
13N	A4-8-3
14N	A5-9-5
15N				x
end

kort	A4-10	0201	Addr
1	A3-10-13N
2				x
3	A4-11-13N
4				x
5				x
6				x
8	L-4
11	-1.5V*4
12				x
14				x
15				x
1N				x
2N				x
3N				x
4N				x
5N	A4-11-11N
7N	A4-9-5N
8N	A3-10-14N
9N				x
10N				x
12N				x
13N	A4-9-3
14N	A5-10-5
15N				x
end

kort	A4-11	0201	Addr
1	A3-11-13N
2				x
3	A4-12-13N
4				x
5				x
6				x
8	L-5
11	-1.5V*5
12				x
14				x
15				x
1N				x
2N				x
3N				x
4N				x
5N	A4-12-7N
8N	A3-11-14N
9N				x
10N				x
11N	A4-10-5N
12N				x
13N	A4-10-3
14N	A5-11-5
15N				x
end

kort	A4-12	0201	Addr
1	A3-12-13N
2				x
3	A4-13-13N
4				x
5				x
6				x
8	L-6
11	-1.5V*6
12				x
14				x
15				x
1N				x
2N				x
3N				x
4N				x
5N	A4-13-7N
7N	A4-11-5N
8N	A3-12-14N
9N				x
10N				x
12N				x
13N	A4-11-3
14N	A5-12-5
15N				x
end

kort	A4-13	0201	Addr
1	A3-13-13N
2				x
3	A4-14-13N
4				x
5				x
6				x
8	L-7
11	-1.5V*7
12				x
14				x
15				x
1N				x
2N				x
3N				x
4N				x
5N	A4-14-7N
7N	A4-12-5N
8N	A3-13-14N
9N				x
10N				x
12N				x
13N	A4-12-3
14N	A5-13-5
15N				x
end

kort	A4-14	0201	Addr
1	A3-14-13N
2				x
3	A4-15-13N
4				x
5				x
6				x
8	L-8
11	-1.5V*8
12				x
14				x
15				x
1N				x
2N				x
3N				x
4N				x
5N	A4-15-7N
7N	A4-13-5N
8N	A3-14-14N
9N				x
10N				x
12N				x
13N	A4-13-3
14N	A5-14-5
15N				x
end

kort	A4-15	0201	Addr
1	A3-15-13N
2				x
3	A4-16-13N
4	B3-49-11N		x
5				x
6				x
8	L-9
11	-1.5V*9
12				x
14				x
15				x
1N				x
2N				x
3N				x
4N				x
5N	A4-16-11N
7N	A4-14-5N
8N	A3-15-14N
9N				x
10N	STEL			x
12N				x
13N	A4-14-3
14N	A5-15-5
15N	B3-28-2			x
end

kort	A4-16	0201	Addr
1	A3-16-13N
2				x
3	A4-17-13N
4				x
5				x
6				x
8	L-10
11	-1.5V*10
12				x
14				x
15				x
1N				x
2N				x
3N				x
4N				x
5N	A4-17-7N
8N	A3-16-14N
9N				x
10N				x
11N	A4-15-5N
12N				x
13N	A4-15-3
14N	A5-16-5
15N				x
end

kort	A4-17	0201	Addr
1	A3-17-13N
2				x
3	A4-18-13N
4				x
5				x
6				x
8	L-11
11	-1.5V*11
12				x
14				x
15				x
1N				x
2N				x
3N				x
4N				x
5N	A4-18-7N
7N	A4-16-5N
8N	A3-17-14N
9N				x
10N				x
12N				x
13N	A4-16-3
14N	A5-17-5
15N				x
end

kort	A4-18	0201	Addr
1	A3-18-13N
2				x
3	A4-19-13N
4				x
5				x
6				x
8	L-12
11	-1.5V*12
12				x
14				x
15				x
1N				x
2N				x
3N				x
4N				x
5N	A4-19-7N
7N	A4-17-5N
8N	A3-18-14N
9N				x
10N				x
12N				x
13N	A4-17-3
14N	A5-18-5
15N				x
end

kort	A4-19	0201	Addr
1	A3-19-13N
2				x
3	A4-20-13N
4				x
5				x
6				x
8	L-13
11	-1.5V*13
12				x
14				x
15				x
1N				x
2N				x
3N				x
4N				x
5N	A4-20-7N
7N	A4-18-5N
8N	A3-19-14N
9N				x
10N				x
12N				x
13N	A4-18-3
14N	A5-19-5
15N				x
end

kort	A4-20	0201	Addr
1	A3-20-13N
2				x
3	A4-21-13N
4				x
5				x
6				x
8	L-14
11	-1.5V*14
12				x
14				x
15				x
1N				x
2N				x
3N				x
4N				x
5N	A4-21-11N
7N	A4-19-5N
8N	A3-20-14N
9N				x
10N				x
12N				x
13N	A4-19-3
14N	A5-20-5
15N				x
end

kort	A4-21	0201	Addr
1	A3-21-13N
2				x
3	A4-22-13N
4				x
5				x
6				x
8	L-15
11	-1.5V*15
12				x
14				x
15				x
1N				x
2N				x
3N				x
4N				x
5N	A4-22-7N
8N	A3-21-14N
9N				x
10N				x
11N	A4-20-5N
12N				x
13N	A4-20-3
14N	A5-21-5
15N				x
end

kort	A4-22	0201	Addr
1	A3-22-13N
2				x
3	A4-23-13N
4				x
5				x
6				x
8	L-16
11	-1.5V*16
12				x
14				x
15				x
1N				x
2N				x
3N				x
4N				x
5N	A4-23-7N
7N	A4-21-5N
8N	A3-22-14N
9N				x
10N	STEL			x
12N				x
13N	A4-21-3
14N	A5-22-5
15N				x
end

kort	A4-23	0201	Addr
1	A3-23-13N
2				x
3	A4-24-13N
4				x
5				x
6				x
8	L-17
11	-1.5V*17
12				x
14				x
15				x
1N				x
2N				x
3N				x
4N				x
5N	A4-24-7N
7N	A4-22-5N
8N	A3-23-14N
9N				x
10N				x
12N				x
13N	A4-22-3
14N	A5-23-5
15N				x
end

kort	A4-24	0201	Addr
1	A3-24-13N
2	A4-25-12N		x
3	A4-25-13N
4				x
5				x
6				x
8	L-18
11	-1.5V*18
12				x
14				x
15				x
1N				x
2N				x
3N				x
4N				x
5N	A4-25-7N
7N	A4-23-5N
8N	A3-24-14N
9N				x
10N				x
12N				x
13N	A4-23-3
14N	A5-24-5
15N				x
end

kort	A4-25	0201	Addr
1	A3-25-13N
2	-4.5V			x
3	B3-29-13N
4	B3-49-12N		x
5	-31.5V			x
6	-3.0V			x
8	L-19
11	-1.5V*19
12	-3.0V			x
14				x
15	B3-28-4N		x
1N	-31.5V			x
2N	-7.5V			x
# XXX: +10.5V or -10.5V 
3N	+10.5V			x
4N	-13.5V			x
5N	B3-29-11N
7N	A4-24-5N
8N	A3-25-14N
9N	-1.5V			x
10N				x
12N	A4-24-2			x
13N	A4-24-3
14N	A5-25-5
15N	B3-28-3			x
end
tværtråd	A5
1	25-5	4-1
2	25-5
3	25-5
4	25-5
7	25-5
8	25-16	15-6	4-1
9	4-1
10	25-16	15-6
12	25-16	15-6	4-1
13	5-1
14	4-1
15	25-16	15-5

1N	25-16	15-5
2N	4-1
3N	25-6	4-1
5N	25-16	15-6
7N	25-5
8N	25-16	15-6
9N	25-16	15-7
13N	25-5
14N	25-5
end
kort	A5-1	0210	Gs generator
1	A5-1-2N				x
2	A5-6-8					# GsMD0-9
3	A5-16-8					# GsMD10-19
4	A5-6-5N					# GsMQ0-9
5	A5-16-5N				# GsMq10-19
6	A2-5-11N	A5-6-1N			# GsAC00-9
7	A5-16-1N				# GsAC10-19
8					x
9	C2-19-11N			x
12					x
13					x
14	A5-5-11N			x
2N	A5-1-1				x
3N	C2-19-2N			x
4N	H9-C
5N	H9-A
6N	H8-NN
7N	H8-MM
8N	H6-D
9N	H6-B
10N	H6-C
11N	H6-A
12N	H11-J
13N	H11-F
14N	H13-X
15N	H13-V
end

kort	A5-2	0210	Gs generator
1					x
2	A2-6-11					# GsAD1
3	A2-6-10					# GsSR
4	A2-6-12					# GsTA
5	A1-24-8		C3-25-13		# Gs stopB m.m
6	C3-9-11N				# Gs BT 3-9
8	STEL				x
9					x
12					x
13					x
14					x
2N					x
3N					x
6N	H11-H
7N	H11-E
8N	H11-D
9N	H11-B
10N	H6-N
11N	H6-L
12N	H6-M
13N	H6-K
14N	H9-KK
15N	H9-HH
end

kort	A5-3	0210	Gs generator
1					x
2	A2-16-11N				# GsOT
3	A2-16-15N				# GsAD2
4	A2-16-14N				# GsAD2 skrå
5	A2-16-13N				# Gs TD skrå
6	A2-16-12N				# Gs TD
7	A2-5-4N		A2-16-14		# Gs 39->TD
8					x
9					x
12					x
13					x
14					x
2N					x
3N					x
4N	H6-LL
5N	H6-JJ
6N	H6-FF
7N	H6-DD
8N	H6-W
9N	H6-U
10N	H6-X
11N	H6-V
12N	H6-EE
13N	H6-CC
14N	H6-S
15N	H6-P
end

kort	A5-4	0210	Gs generator
1	A5-5-2				x
2	A2-5-9N		A4-5-14			# Gs Adder 00-19
4	A3-6-2N					# GsLIo-9
5	A3-16-2N				# GsLI10-19
6	A2-5-10N	A3-5-12N		# GsHoo-9
7	A3-16-12N				# GsH10-19
8					x
9	A5-5-13N			x
12	A5-5-5N				x
13					x
14	A5-5-3				x
2N					x
3N	-4.5V				x
4N	H5-KK
5N	H5-HH
6N	H5-FF
7N	H5-DD
8N	H8-FF
9N	H8-DD
10N	H8-EE
11N	H8-CC
14N	H6-AA
15N	H6-Y
end

kort	A5-5	0202-21	AC-MD-MQ
1					x
2	A5-4-1				x
3	A5-4-14				x
4					x
5	A4-5-14N
7					x
8	A5-7-8		A4-1-2N
10	+4.5V
11	A5-6-11
12	A5-7-12
13	A5-5-14N			x
14	A4-5-8					# L-00
15	A6-4-2				x
1N	A4-1-11N			x
5N	-3.0V		A5-4-12
6N	A4-2-12N	A5-5-9N
7N	A4-2-4N				x
8N	KB5-W
9N	A5-5-6N
10N	KB5-S
11N	A5-1-14
13N	A5-4-9				x
14N	A5-5-13				x
15N			KB5-BB
end

kort	A5-6	0202-23 AC-MD-MQ
1					x
2					x
3					x
4					x
5	A4-6-14N
6	A4-3-13N
7					x
8	A5-1-2				x
9	A4-4-9N
10	A6-4-4				x
11	B6-27-3		A5-5-11
12	A6-5-5				x
13	A6-6-3N		A4-6-11
14	A6-6-5N		A4-6-8
15					x
1N	A5-1-6				x
3N					x
5N	A5-1-4				x
6N	A4-2-15N
7N					x
8N	A6-4-6				x
9N	A6-3-6
10N	B4-48-11N	A4-4-4N
11N	B3-50-4N	A5-7-10N
12N	A5-7-11N
13N					x
14N					x
15N	BF2-A1
end

kort	A5-7	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	A4-7-14N
7	STEL				x
8	A5-5-8				x
10					x
11	B6-27-5	
12	A5-5-12				x
13	-1.5V*1
14	L-1
15					x
1N					x
3N					x
5N					x
7N					x
8N					x
9N	A6-3-2				x
10N	A5-6-11N
11N	A5-8-10N	A5-6-12N
12N	A5-8-11N
13N					x
14N					x
15N	BF2-B1
end

kort	A5-8	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	A4-8-14N
7					x
8					x
10					x
11	B6-27-10N	
12					x
13	-1.5V*2
14	L-2
15					x
1N					x
3N					x
5N					x
7N					x
8N					x
9N					x
10N	A5-7-11N
11N	A5-9-10N	A5-7-12N
12N	A5-9-11N
13N					x
14N					x
15N	BF2-C1
end

kort	A5-9	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	A4-9-14N
7					x
8					x
10					x
11	B6-27-9N	
12					x
13	-1.5V*3
14	L-3
15					x
1N					x
3N					x
5N					x
7N					x
8N					x
9N					x
10N	A5-8-11N
11N	A5-10-10N	A5-8-12N
12N	A5-10-11N
13N					x
14N					x
15N	BF2-D1
end

kort	A5-10	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	A4-10-14N
7					x
8					x
10					x
11	B6-28-3	
12					x
13	-1.5V*4
14	L-4
15					x
1N					x
3N					x
5N					x
7N					x
8N					x
9N					x
10N	A5-9-11N
11N	A5-11-10N	A5-9-12N
12N	A5-11-11N
13N					x
14N					x
15N	BF2-E1
end

kort	A5-11	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	A4-11-14N
7					x
8					x
10					x
11	B6-28-5	
12					x
13	-1.5V*5
14	L-5
15					x
1N					x
3N					x
5N					x
7N					x
8N					x
9N					x
10N	A5-10-11N
11N	A5-12-10N	A5-10-12N
12N	A5-12-11N
13N					x
14N					x
15N	BF2-A2
end

kort	A5-12	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	A4-12-14N
7					x
8					x
10					x
11	B6-28-10N	
12					x
13	-1.5V*6
14	L-6
15					x
1N					x
3N					x
5N					x
7N					x
8N					x
9N					x
10N	A5-11-11N
11N	A5-13-10N	A5-11-12N
12N	A5-13-11N
13N					x
14N					x
15N	BF2-B2
end

kort	A5-13	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	A4-13-14N
7	STEL				x
8					x
10					x
11	B6-28-9N	
12					x
13	-1.5V*7
14	L-7
15					x
1N					x
3N					x
5N					x
7N					x
8N					x
9N					x
10N	A5-12-11N
11N	A5-14-10N	A5-12-12N
12N	A5-14-11N
13N					x
14N					x
15N	BF2-C2
end

kort	A5-14	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	A4-14-14N
7	STEL				x
8					x
10					x
11	B6-29-3	
12					x
13	-1.5V*8
14	L-8
15					x
1N					x
3N					x
5N					x
7N					x
8N					x
9N					x
10N	A5-13-11N
11N	A5-15-10N	A5-13-12N
12N	A5-15-11N
13N					x
14N					x
15N	BF2-D2
end

kort	A5-15	0202-24	AC-MD-MQ
1					x
2					x
3					x
4					x
5	A4-15-14N
7					x
8					x
10					x
11	B6-29-5	
12	B3-28-3N			x
13	-1.5V*9
14	L-9
15					x
1N					x
2N	A2-4-4N		C5-12-8
3N					x
4N	C5-20-5
5N					x
7N					x
8N					x
9N					x
10N	A5-14-11N
11N	A5-16-10N	A5-14-12N
12N	A5-16-11N
13N					x
14N					x
15N	BF2-E2
end

kort	A5-16	0202-24	AC-MD-MQ
1					x
2					x
3					x
4					x
5	A4-16-14N
6	A2-4-1
7					x
8	A5-1-3				x
10	A6-4-5				x
11	B6-29-10N	
12	A6-5-6				x
13	-1.5V*10
14	L-10
15	A6-4-3				x
1N	A5-1-7				x
2N	A2-4-3
3N					x
5N	A5-1-5				x
6N	A2-4-2
7N					x
8N	A6-4-7				x
9N	A6-3-3				x
10N	A5-15-11N
11N	A5-17-10N	A5-15-12N
12N	A5-17-11N
13N					x
14N					x
15N	BF2-A3
end

kort	A5-17	0202-24	AC-MD-MQ
1					x
2					x
3					x
4					x
5	A4-17-14N
6	
7					x
8					x
10					x
11	B6-29-9N	
12					x
13	-1.5V*11
14	L-11
15					x
1N					x
2N	A2-4-3N
3N					x
5N					x
6N	
7N					x
8N					x
9N					x
10N	A5-16-11N
11N	A5-18-10N	A5-16-12N
12N	A5-18-11N
13N					x
14N					x
15N	BF2-B3
end

kort	A5-18	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	A4-18-14N
6	
7					x
8					x
10					x
11	B6-30-3	
12					x
13	-1.5V*12
14	L-12
15					x
1N					x
2N	
3N					x
5N					x
6N	
7N					x
8N					x
9N					x
10N	A5-17-11N
11N	A5-19-10N	A5-17-12N
12N	A5-19-11N
13N					x
14N					x
15N	BF2-C3
end

kort	A5-19	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	A4-19-14N
6	
7					x
8					x
10					x
11	B6-30-5	
12					x
13	-1.5V*13
14	L-13
15					x
1N					x
2N	
3N					x
5N					x
6N	
7N					x
8N					x
9N					x
10N	A5-18-11N
11N	A5-20-10N	A5-18-12N
12N	A5-20-11N
13N					x
14N					x
15N	BF2-D3
end

kort	A5-20	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	A4-20-14N
6	
7					x
8					x
10					x
11	B6-30-10N	
12					x
13	-1.5V*14
14	L-14
15					x
1N					x
2N	
3N					x
5N					x
6N	
7N					x
8N					x
9N					x
10N	A5-19-11N
11N	A5-21-10N	A5-19-12N
12N	A5-21-11N
13N					x
14N					x
15N	BF2-E3
end

kort	A5-21	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	A4-21-14N
6	
7					x
8					x
10					x
11	B6-30-9N	
12					x
13	-1.5V*15
14	L-15
15					x
1N					x
2N	
3N					x
5N					x
6N	
7N					x
8N					x
9N					x
10N	A5-20-11N
11N	A5-22-10N	A5-20-12N
12N	A5-22-11N
13N					x
14N					x
15N	BF2-A4
end

kort	A5-22	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	A4-22-14N
6	
7					x
8					x
10					x
11	B6-31-3	
12					x
13	-1.5V*16
14	L-16
15					x
1N					x
2N	
3N					x
5N					x
6N	
7N					x
8N					x
9N					x
10N	A5-21-11N
11N	A5-23-10N	A5-21-12N
12N	A5-23-11N
13N					x
14N					x
15N	BF2-B4
end

kort	A5-23	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	A4-23-14N
6	
7	STEL				x
8					x
10					x
11	B6-31-5	
12					x
13	-1.5V*17
14	L-17
15					x
1N					x
2N	
3N					x
5N					x
6N	
7N					x
8N					x
9N					x
10N	A5-22-11N
11N	A5-24-10N	A5-22-12N
12N	A5-24-11N
13N					x
14N					x
15N	BF2-C4
end

kort	A5-24	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	A4-24-14N
6	
7					x
8					x
10					x
11	B6-31-10N	
12					x
13	-1.5V*18
14	L-18
15					x
1N					x
2N	
3N					x
5N					x
6N	
7N					x
8N					x
9N					x
10N	A5-23-11N
11N	A5-25-10N	A5-23-12N
12N	A5-25-11N
13N					x
14N					x
15N	BF2-D4
end

kort	A5-25	0202-22	AC-MD-MQ
1	-31.5V				x
# XXX: +10.5V or -10.5V ?
2	+10.5V				x
3	-13.5V				x
4	-7.5V				x
5	A4-25-14N
7					x
8					x
10					x
11	B6-31-9N
12					x
13	-1.5V*19
14	L-19
15					x
1N					x
3N	B3-27-7				x
5N					x
7N	B4-29-7N			x
8N					x
9N					x
10N	A5-24-11N
11N	B4-29-10N	A5-24-12N
12N	B4-29-11N
13N	+1.5V				x
14N	-1.5V				x
15N	BF2-E4
end
tværtråd	A6
1	25-6	5-1
2	25-6
3	25-6
4	25-6
7	25-6
8	25-6
10	25-16	15-6
11	25-16	15-6
13	25-1
14	25-6
15	5-1

1N	5-1
2N	25-6	5-1
3N	5-1
7N	24-21	20-16	15-8
9N	25-16	15-6
10N	25-16	15-6
15N	25-16	15-6
end

kort	A6-1	0211	Gm
1					x
2	C2-8-4N					# Gm BL2-9
3	C2-7-10N					# Gm 1->Zl
4	C2-9-5N		C2-19-4			# Gm BS3-9
5	A2-1-3N					# Gm step
6	C2-8-6N					# Gm By2-9
7	C2-4-3N					# Gm 1-Zs
13					x
15	STEL				x
1N					x
2N					x
3N	STEL				x
4N	H10-FF
5N	H10-DD
6N	H10-EE
7N	H10-CC
8N	H8-BB
9N	H8-Z
10N	H8-AA
11N	H8-Y
12N	H10-BB
13N	H10-Z
14N	H10-AA
15N	H10-Y
end

kort	A6-2	0211	Gm
1					x
2	C1-6-9N					# Gm TK
3	C1-6-4N					# Gm IN
4	C3-25-3		C6-5-2			# Gm sætTl, 0->b og c
5	C2-7-6N					# Gm j
6	C3-6-9N					# Gm TBA, start tromle
13					x
15					x
1N					x
2N					x
3N					x
4N	H6-NN
5N	H6-MM
6N	H11-C
7N	H11-A
8N	H10-J
9N	H10-F
10N	H10-NN
11N	H10-MM
12N	H10-LL
13N	H10-JJ
14N	H10-W
15N	H10-U
end

kort	A6-3	0211	Gm
1					x
2	A5-7-9N					# Gm MQ1-9 h skift
3	A5-16-9N				# Gm MQ 10-19 h skift
5	A4-4-13					# Gm linie 39->MQo
6	A5-6-9N					# Gm MQ39->MQ0
7	A4-4-12					# Gm 0 -> MQo
13					x
15					x
1N					x
2N					x
3N					x
4N	H10-H
5N	H10-E
6N	H7-AA
7N	H7-Y
8N	H7-X
9N	H7-V
12N	H7-S
13N	H7-P
14N	H7-N
15N	H7-L
end

kort	A6-4	0211	Gm
1					x
2	A5-5-15					# Gm AC00-9
3	A5-16-15				# Gm AC10-10
4	A5-6-10					# Gm MQ0-9
5	A5-16-10				# Gm MQ10-19
6	A5-6-8N					# Gm MQ0-9 v.skift
7	A5-16-8N				# Gm MQ10-19 v.skift
13					x
15					x
1N					x
2N					x
3N					x
4N	H7-EE
5N	H7-CC
6N	H7-BB
7N	H7-Z
8N	H7-D
9N	H7-B
10N	H7-C
11N	H7-A
12N	H5-T
13N	H5-R
14N	H5-S
15N	H5-P
